Значения перечисления ХозяйственныеОперации
==========================================

АвансовыйОтчет | Авансовый отчет
АмортизацияВнеоборотныхАктивов | Амортизация внеоборотных активов
АмортизацияНМА | Амортизация НМА
АмортизацияНМАвДругуюОрганизацию | Амортизация НМА в другую организацию
АмортизацияНМАизДругойОрганизации | Амортизация НМА из другой организации
АмортизацияОС | Амортизация ОС
АмортизацияОСвДругуюОрганизацию | Амортизация ОС в другую организацию
АмортизацияОСизДругойОрганизации | Амортизация ОС из другой организации
АннулированиеПодарочныхСертификатов | Аннулирование подарочных сертификатов
БронированиеУПоставщика | Бронирование у поставщика
БронированиеЧерезАгента | Бронирование через агента
БронированиеЧерезПодотчетноеЛицо | Бронирование через подотчетное лицо
ВводДанныхПоНалогуНаПрибыль | Ввод данных по налогу на прибыль
ВводИнформацииОПрошлыхРемонтах | Ввод информации о прошлых ремонтах
ВводОстатковАвансовКлиентов | Ввод остатков авансов клиентов
ВводОстатковАвансовПоставщикам | Ввод остатков авансов поставщикам
ВводОстатковАмортизацииНМАиРасходовНаНИОКР | Ввод остатков амортизации НМА и расходов на НИОКР
ВводОстатковАмортизацииОС | Ввод остатков амортизации ОС
ВводОстатковАрендованныхОСЗаБалансом | Ввод остатков арендованных ОС (за балансом)
ВводОстатковАрендованныхОСНаБалансе | Ввод остатков арендованных ОС (на балансе)
ВводОстатковВАвтономныхКассахККМКОформлениюОтчетовОРозничныхПродажах | Ввод остатков в автономных кассах ККМ к оформлению отчетов о розничных продажах
ВводОстатковВАвтономныхКассахККМПоРозничнойВыручке | Ввод остатков в автономных кассах ККМ по розничной выручке
ВводОстатковВзаиморасчетовПоДоговорамАренды | Ввод остатков взаиморасчетов по договорам аренды
ВводОстатковВКассах | Ввод остатков в кассах
ВводОстатковВложенийВоВнеоборотныеАктивы | Ввод остатков вложений во внеоборотные активы
ВводОстатковВозвратнойТарыПереданнойКлиентам | Ввод остатков возвратной тары, переданной клиентам
ВводОстатковВозвратнойТарыПринятойОтПоставщиков | Ввод остатков возвратной тары, принятой от поставщиков
ВводОстатковДенежныхСредствКПоступлениюОтЭквайера | Ввод остатков денежных средств к поступлению от эквайера
ВводОстатковЗадолженностиКлиентов | Ввод остатков задолженности клиентов
ВводОстатковЗадолженностиПодотчетников | Ввод остатков задолженности подотчетников
ВводОстатковЗадолженностиПоставщикам | Ввод остатков задолженности поставщикам
ВводОстатковЗатратПартийПроизводства | Ввод остатков затрат партий производства
ВводОстатковИнвестицииВАренду | Ввод остатков инвестиции в аренду
ВводОстатковМатериаловПереданныхВПроизводство | Ввод остатков материалов, переданных в производство
ВводОстатковМатериаловПереданныхПереработчикам | Ввод остатков материалов, переданных переработчикам (2.4)
ВводОстатковМатериаловПереданныхПереработчикам2_5 | Ввод остатков материалов, переданных переработчикам
ВводОстатковМатериаловПринятыхВПереработку2_5 | Ввод остатков материалов, принятых в переработку
ВводОстатковНаБанковскихСчетах | Ввод остатков на банковских счетах
ВводОстатковНДСПоПриобретеннымЦенностям | Ввод остатков НДС по приобретенным ценностям
ВводОстатковНМАиРасходовНаНИОКР | Ввод остатков нематериальных активов и расходов на НИОКР
ВводОстатковОбесцененияМатериаловПереданныхВПроизводство | Ввод остатков обесценения материалов переданных в производство
ВводОстатковОбесцененияМатериаловПереданныхПереработчикам | Ввод остатков обесценения материалов переданных переработчикам
ВводОстатковОбесцененияНМА | Ввод остатков обесценения НМА
ВводОстатковОбесцененияОС | Ввод остатков обесценения ОС
ВводОстатковОбесцененияСобственныхТоваров | Ввод остатков обесценения собственных товаров
ВводОстатковОбесцененияТоваровПереданныхНаКомиссию | Ввод остатков обесценения товаров переданных на комиссию
ВводОстатковОбесцененияТоваровПереданныхНаОтветственноеХранение | Ввод остатков обесценения товаров, переданных на ответственное хранение
ВводОстатковОптовыхПродажЗаПрошлыеПериоды | Ввод остатков оптовых продаж за прошлые периоды
ВводОстатковОсновныхСредств | Ввод остатков основных средств
ВводОстатковОтклоненийВСтоимостиТоваров | Ввод остатков отклонений в стоимости товаров
ВводОстатковПереданныхВАрендуОС | Ввод остатков переданных в аренду основных средств
ВводОстатковПереданныхВАрендуПредметовЛизингаНаБалансе | Ввод остатков переданных в аренду предметов лизинга на балансе
ВводОстатковПерерасходовПодотчетныхСредств | Ввод остатков перерасходов подотчетных средств
ВводОстатковПодарочныхСертификатов | Ввод остатков подарочных сертификатов
ВводОстатковПоДоговорамКредитовИДепозитов | Ввод остатков по договорам кредитов и депозитов
ВводОстатковПолуфабрикатовДавальца2_5 | Ввод остатков полуфабрикатов давальца
ВводОстатковПредметовЛизингаЗаБалансом | Ввод остатков предметов лизинга за балансом
ВводОстатковПремийКлиентам | Ввод остатков премий клиентам
ВводОстатковПремийПоставщиков | Ввод остатков премий поставщиков
ВводОстатковПриПереходеНаИспользованиеАдресногоХраненияОстатков | Ввод остатков при переходе на использование адресного хранения остатков
ВводОстатковПриПереходеНаИспользованиеСкладскихПомещений | Ввод остатков при переходе на использование складских помещений
ВводОстатковПриПереходеНаНДД | Ввод остатков при переходе на НДД
ВводОстатковПродукцииДавальца2_5 | Ввод остатков продукции давальца
ВводОстатковПрочихАктивовПассивов | Ввод остатков прочих активов пассивов
ВводОстатковПрочихРасходов | Ввод остатков прочих расходов
ВводОстатковПрочихРасходовУСН | Ввод остатков прочих расходов УСН
ВводОстатковРасходовУСНПоМатериалам | Ввод остатков расходов УСН по материалам
ВводОстатковРасходовУСНПоТоварам | Ввод остатков расходов УСН по товарам
ВводОстатковРасчетовМеждуОрганизациямиПоАвансам | Ввод остатков расчетов между организациями по авансам
ВводОстатковРасчетовМеждуОрганизациямиПоРеализациям | Ввод остатков расчетов между организациями по реализациям
ВводОстатковРемонтов | Ввод остатков ремонтов
ВводОстатковРозничныхПродажЗаПрошлыеПериоды | Ввод остатков розничных продаж за прошлые периоды
ВводОстатковСобственныхТоваров | Ввод остатков собственных товаров
ВводОстатковСтоимостиНМАиРасходовНаНИОКР | Ввод остатков стоимости НМА и расходов на НИОКР
ВводОстатковСтоимостиОС | Ввод остатков стоимости ОС
ВводОстатковТМЦВЭксплуатации | Ввод остатков ТМЦ в эксплуатации
ВводОстатковТоваровПереданныхНаКомиссию | Ввод остатков товаров, переданных на комиссию
ВводОстатковТоваровПереданныхНаКомиссию2_5 | Ввод остатков товаров, переданных на комиссию 2.5
ВводОстатковТоваровПереданныхНаОтветственноеХранение | Ввод остатков товаров, переданных на ответственное хранение
ВводОстатковТоваровПолученныхНаКомиссию | Ввод остатков товаров, принятых на комиссию
ВводОстатковТоваровПринятыхНаОтветственноеХранение | Ввод остатков товаров, принятых на ответственное хранение
ВводОстатковУзловКомпонентовАмортизации | Ввод остатков узлов и компонентов амортизации
